week,title,url
1,"Missing Math: A Number Mystery",https://www.youtube.com/watch?v=XZ18AFhJ2PY
2,"Two Ways to Count to Ten: A Liberian Folktale",https://www.youtube.com/watch?v=bgbdFKjSbI8
3,"Anno's Counting Book",https://www.youtube.com/watch?v=tPe2vvbXCWo
4,"Albert Adds Up!",https://www.youtube.com/watch?v=dbUOD37LjV0
5,"Domino Addition",https://www.youtube.com/watch?v=Ml7ue4FvgL8
6,"Math Fables: Lessons That Count",https://www.youtube.com/watch?v=3Ahd0Kl5qgw
7,"The Greedy Triangle",https://www.youtube.com/watch?v=r3DsRKaNFmk
8,"Captain Invincible and the Space Shapes",https://www.youtube.com/watch?v=EO4KUJQt-kk
9,"Handa's Surprise",https://www.youtube.com/watch?v=oUdLhWdrITQ
10,"Splash!",https://www.youtube.com/watch?v=MjGvCjkuqkY
11,"Applesauce Season",https://www.youtube.com/watch?v=bEaaBuO96CM
12,"Can You Count to a Googol",https://www.youtube.com/watch?v=cgwySOKXtgo
13,"Missing Mittens",https://www.youtube.com/watch?v=5NDmrz8xMiQ&t
14,"The Best Vacation Ever",https://www.youtube.com/watch?v=IjOway5VuqM
15,"100 Bugs! A Counting Book",https://www.youtube.com/watch?v=INOd22YF-AA
16,"Chicka Chicka 1,2,3",https://www.youtube.com/watch?v=TnOx1A5H2rE
17,"Only One",https://www.youtube.com/watch?v=vZi2L6TZALU
18,"Measuring Penny",https://www.youtube.com/watch?v=YXxj3TfTFM4
19,"How Big Is a Foot?",https://www.youtube.com/watch?v=p5vJrB68K_o
20,"12 Ways to Get to 11",https://www.youtube.com/watch?v=rJJ1HhSv4LY
21,"What's New at the Zoo?",https://www.youtube.com/watch?v=2J18N9jdR8c
22,"100 Snowmen",https://www.youtube.com/watch?v=DCVS3B5zPQY
23,"Game Time!",https://www.youtube.com/watch?v=EOdFEkCmIKA
24,"A Chair for My Mother",https://www.youtube.com/watch?v=DEoEEWEnooI
25,"The Penny Pot",https://www.youtube.com/watch?v=C-UsgUgjyJU
26,"Ready, Set, Hop!",https://www.youtube.com/watch?v=juo9OTZEoCg
27,"Math for All Seasons",https://www.youtube.com/watch?v=JinEG7NhBtk
28,"Counting on Frank",https://www.youtube.com/watch?v=gUEc7Y_1RFU
29,"Pigs Will Be Pigs",https://www.youtube.com/watch?v=2bqsG3RiPRA
30,"What's Faster Than a Speeding Cheetah?",https://www.youtube.com/watch?v=YmmmAIX7Tbk
31,"One Hundred Hungry Ants",https://www.youtube.com/watch?v=kzq3YGXpi-4